Date,Equity,Cash,Return,Peak,Drawdown
2023-01-17,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-18,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-19,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-20,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-23,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-24,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-25,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-26,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-27,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-30,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-01-31,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-01,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-02,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-03,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-06,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-07,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-08,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-09,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-10,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-13,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-14,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-15,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-16,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-17,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-21,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-22,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-23,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-24,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-27,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-02-28,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-03-01,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
